Fiscal Year Closed,Release Month & Year,Closure Type,Race - Ethnicity,Sex,Age at Closure,Institution Name ,Convicting Offense,Convicting Offense Classification,Zip Code of Work Unit Region,Convicting Offense Description,Convicting Offense Type,Convicting Offense Subtype,Months Served
2014,03/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,38,Newton Correctional Facility,124.401(1)(b)(7),B Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,54.61
2014,02/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,49,Anamosa State Penitentiary,713.6A,D Felony,"52205(42.112167, -91.282703)",BURGLARY 3RD DEGREE,Property,Burglary,7.37
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,35,Iowa State Penitentiary,724.26,D Felony,"52627(40.651925, -91.34727)","REC. TRANSP, POS. FIREARM FELON",Public Order,Weapons,8.19
2016,02/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,26,Clarinda Correctional Facility,713.6A,D Felony,"51632(40.747654, -95.045654)",BURGLARY 3RD DEGREE,Property,Burglary,11.74
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,21,Fort Dodge Correctional Facility,124.401(1)(d)(2),D Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,9.05
2014,01/01/2014 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,28,Mount Pleasant Correctional Facility,124.401(1)(d)(2),D Felony,"52641(40.988278, -91.57896)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,29.11
2016,03/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,34,Clarinda Correctional Facility,"902.8,B",Felony - Enhancement to Original Penalty,"51632(40.747654, -95.045654)",HABITUAL OFFENDER (PROPERTY),Other,Other Criminal,32.96
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,57,Iowa Correctional Institution for Women,714.2(3),Aggravated Misdemeanor,"50169(41.658201, -93.356797)",THEFT 3RD DEGREE,Property,Theft,2.76
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,40,Clarinda Correctional Facility,"706.3,C",D Felony,"51632(40.747654, -95.045654)",CONSPIRACY/COMMIT FELONY (PROPERTY),Other,Other Criminal,8.82
2015,02/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,48,Iowa Correctional Institution for Women,711.3,C Felony,"50169(41.658201, -93.356797)","ROBBERY 2ND DEGREE, 85%",Violent,Robbery,81.88
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,38,Iowa Correctional Institution for Women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,18.42
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,26,Fort Dodge Correctional Facility,714.2(1),C Felony,"50501(42.494187, -94.188076)",THEFT 1ST DEGREE,Property,Theft,22.7
2015,03/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,45,Fort Dodge Correctional Facility,124.401(1)(c)(6),C Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,13.65
2015,03/01/2015 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,30,Anamosa State Penitentiary,124.401(1E),Felony - Enhancement to Original Penalty,"52205(42.112167, -91.282703)",Proh Acts-Firearm Poss/Control-2X Penalty Enh,Drug,Trafficking,11.61
2016,02/01/2016 12:00:00 AM,Paroled w/Immediate Discharge,White - Non-Hispanic,Male,46,Fort Dodge Correctional Facility,724.26,D Felony,"50501(42.494187, -94.188076)","REC. TRANSP, POS. FIREARM FELON",Public Order,Weapons,12.99
2015,03/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,29,Iowa Correctional Institution for Women,714.2(3),Aggravated Misdemeanor,"50169(41.658201, -93.356797)",THEFT 3RD DEGREE,Property,Theft,2.37
2015,01/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,35,Clarinda Correctional Facility,713.6A,D Felony,"51632(40.747654, -95.045654)",BURGLARY 3RD DEGREE,Property,Burglary,13.39
2016,01/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,24,North Central Correctional Facility,713.5,C Felony,"50579(42.394184, -94.640946)",BURGLARY 2ND DEGREE,Property,Burglary,17.11
2014,01/01/2014 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,44,Fort Dodge Correctional Facility,713.6A,D Felony,"50501(42.494187, -94.188076)",BURGLARY 3RD DEGREE,Property,Burglary,15.89
2016,02/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,23,Iowa Correctional Institution for Women,716.3,C Felony,"50169(41.658201, -93.356797)",CRIMINAL MISCHIEF 1ST DEGREE,Property,Vandalism,11.74
2015,02/01/2015 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,39,Iowa State Penitentiary,124.401(1)(d)(2),D Felony,"52627(40.651925, -91.34727)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,11.48
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,40,Anamosa State Penitentiary,714.2(2),D Felony,"52205(42.112167, -91.282703)",THEFT 2ND DEGREE,Property,Theft,7.7
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,37,Newton Correctional Facility,321J.2(B),Aggravated Misdemeanor,"50208(41.707788, -93.035318)",OPER VEH WH INT (OWI) / AGR MISD / 2ND OFF -,Public Order,OWI,4.14
2016,01/01/2016 12:00:00 AM,Paroled to Detainer - U.S. Marshall,White - Non-Hispanic,Male,56,Mount Pleasant Correctional Facility,124.401(1)(c)(6),C Felony,"52641(40.988278, -91.57896)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,14.28
2014,01/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,24,Fort Dodge Correctional Facility,124.401(1)(c)(8),C Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking,37.6
2016,03/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,26,Newton Correctional Facility,714.2(1),C Felony,"50208(41.707788, -93.035318)",THEFT 1ST DEGREE,Property,Theft,15.3
2016,02/01/2016 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,21,Fort Dodge Correctional Facility,708.6(1),C Felony,"50501(42.494187, -94.188076)",INTIMIDATION WITH A DANGEROUS WEAPON,Violent,Assault,35.69
2015,01/01/2015 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,29,Mount Pleasant Correctional Facility,"709.4(2C,4)",C Felony,"52641(40.988278, -91.57896)",Sexual Abuse 3rd Degree/Life Special Sentence.,Violent,Sex,46.02
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,34,North Central Correctional Facility,124.401(5)(c),D Felony,"50579(42.394184, -94.640946)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,6.74
2015,04/01/2015 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,26,Newton Correctional Facility,"706.3,A",C Felony,"50208(41.707788, -93.035318)",CONSPIRACY/COMMIT FORC FELONY,Violent,Other Violent,11.45
2015,01/01/2015 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,23,Fort Dodge Correctional Facility,713.6,D Felony,"50501(42.494187, -94.188076)",ATTEMPTED BURGLARY 2ND DEGREE,Property,Burglary,15.59
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,32,Fort Dodge Correctional Facility,124.401(1)(c)(2)(d),C Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Other Cont Subst LT 500 gm",Drug,Trafficking,13.29
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,40,Newton Correctional Facility,708.2A(5),D Felony,"50208(41.707788, -93.035318)",Domestic Abuse Assault Impeding Air/Blood Flow Causing Bodily Injury,Violent,Assault,15.3
2014,04/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,31,Clarinda Correctional Facility,321J.2(B),Aggravated Misdemeanor,"51632(40.747654, -95.045654)",OPER VEH WH INT (OWI) / AGR MISD / 2ND OFF -,Public Order,OWI,3.42
2016,02/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,27,Fort Dodge Correctional Facility,713.6B,Aggravated Misdemeanor,"50501(42.494187, -94.188076)",ATTEMPTED BURGLARY 3RD DEGREE,Property,Burglary,6.25
2014,03/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,24,Anamosa State Penitentiary,124.401(1)(d)(2),D Felony,"52205(42.112167, -91.282703)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,6.18
2016,01/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,56,Newton Correctional Facility,708.2A(5),D Felony,"50208(41.707788, -93.035318)",Domestic Abuse Assault Impeding Air/Blood Flow Causing Bodily Injury,Violent,Assault,22.37
2016,02/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,28,Anamosa State Penitentiary,708.7(2),Aggravated Misdemeanor,"52205(42.112167, -91.282703)",HARASSMENT / 1ST DEG.,Violent,Assault,19.97
2016,03/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,35,North Central Correctional Facility,124.401(1)(d)(2),D Felony,"50579(42.394184, -94.640946)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,9.01
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,49,Clarinda Correctional Facility,714.2(3),Aggravated Misdemeanor,"51632(40.747654, -95.045654)",THEFT 3RD DEGREE,Property,Theft,9.14
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,30,Anamosa State Penitentiary,124.401(1)(c)(6),C Felony,"52205(42.112167, -91.282703)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,18.39
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,21,Anamosa State Penitentiary,123.91(2),Aggravated Misdemeanor,"52205(42.112167, -91.282703)","ALCOHOL CHAPTER 123, 3RD AND SUBSEQUENT",Public Order,Alcohol,5.03
2016,01/01/2016 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,28,Clarinda Correctional Facility,124.401(1)(c)(3),C Felony,"51632(40.747654, -95.045654)","Proh. Acts - Mfg, Del, Consp or Poss w/Int. - Cocaine LT 10 gm",Drug,Trafficking,21.64
2014,02/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,24,Newton Correctional Facility,713.6A,D Felony,"50208(41.707788, -93.035318)",BURGLARY 3RD DEGREE,Property,Burglary,16.12
2014,01/01/2014 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,46,Mount Pleasant Correctional Facility,728.12(2),D Felony,"52641(40.988278, -91.57896)",Sexual Exploit. of Minor-10 Yr. Special Sentence,Violent,Sex,48.59
2014,02/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,31,Iowa Correctional Institution for Women,715A.2(2)a,D Felony,"50169(41.658201, -93.356797)",FORGERY,Property,Forgery/Fraud,5.66
2014,01/01/2014 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,24,Mount Pleasant Correctional Facility,725.2,D Felony,"52641(40.988278, -91.57896)",PIMPING,Public Order,Prostitution/Pimping,23.06
2016,03/01/2016 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,26,Fort Dodge Correctional Facility,124.401(1)(d)(2),D Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,6.25
2014,02/01/2014 12:00:00 AM,Work Release Granted,American Indian or Alaska Native - Non-Hispanic,Male,21,Clarinda Correctional Facility,708.4(1),C Felony,"51632(40.747654, -95.045654)",WILLFUL INJURY - CAUSING SERIOUS INJURY,Violent,Assault,49.87
2014,01/01/2014 12:00:00 AM,Released to Special Sentence,American Indian or Alaska Native - Non-Hispanic,Male,23,Iowa Medical & Classification Center,709.11(3),Aggravated Misdemeanor,"52241(41.694462, -91.58569)",Asslt. to Commit Sex Abuse/No Inj.-10 Yr. Special Sent.,Violent,Sex,4.14
2016,02/01/2016 12:00:00 AM,Paroled w/Immediate Discharge,American Indian or Alaska Native - Non-Hispanic,Female,23,Iowa Correctional Institution for Women,726.6(7),Aggravated Misdemeanor,"50169(41.658201, -93.356797)",Child Endangerment/No Injury,Violent,Other Violent,11.45
2014,02/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,23,North Central Correctional Facility,713.6A,D Felony,"50579(42.394184, -94.640946)",BURGLARY 3RD DEGREE,Property,Burglary,8.78
2015,01/01/2015 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,50,Mount Pleasant Correctional Facility,709.11(3),Aggravated Misdemeanor,"52641(40.988278, -91.57896)",Asslt. to Commit Sex Abuse/No Inj.-10 Yr. Special Sent.,Violent,Sex,9.84
2016,01/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,23,Anamosa State Penitentiary,714.2(2),D Felony,"52205(42.112167, -91.282703)",THEFT 2ND DEGREE,Property,Theft,48.65
2014,01/01/2014 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Female,28,Iowa Correctional Institution for Women,715A.6(2),Aggravated Misdemeanor,"50169(41.658201, -93.356797)",UNAUTHORIZED USE OF CREDIT CARDS,Property,Forgery/Fraud,7.27
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,49,Mount Pleasant Correctional Facility,321J.2(C),D Felony,"52641(40.988278, -91.57896)",OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,12.17
2016,02/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,20,North Central Correctional Facility,714.2(2),D Felony,"50579(42.394184, -94.640946)",THEFT 2ND DEGREE,Property,Theft,6.88
2014,03/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,53,Anamosa State Penitentiary,124.401(5)(c),D Felony,"52205(42.112167, -91.282703)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,7.04
2014,01/01/2014 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,34,Mount Pleasant Correctional Facility,709.4,C Felony,"52641(40.988278, -91.57896)",Sex Abuse 3rd Degree-Life Special Sentence,Violent,Sex,81.09
2015,01/01/2015 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,26,Newton Correctional Facility,713.5,C Felony,"50208(41.707788, -93.035318)",BURGLARY 2ND DEGREE,Property,Burglary,36.12
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,49,Fort Dodge Correctional Facility,"902.8,B",Felony - Enhancement to Original Penalty,"50501(42.494187, -94.188076)",HABITUAL OFFENDER (PROPERTY),Other,Other Criminal,22.73
2014,01/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,53,Anamosa State Penitentiary,124.401(1)(c)(6),C Felony,"52205(42.112167, -91.282703)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,6.61
2014,02/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,34,Anamosa State Penitentiary,321.561,Aggravated Misdemeanor,"52205(42.112167, -91.282703)",DRIVING WHILE BARRED - MOTOR VEHICLE,Public Order,Traffic,5.63
2016,02/01/2016 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,22,Newton Correctional Facility,714.2(2),D Felony,"50208(41.707788, -93.035318)",THEFT 2ND DEGREE,Property,Theft,12.99
2015,01/01/2015 12:00:00 AM,Paroled to Detainer - INS,White - Hispanic,Male,23,Iowa Medical & Classification Center,726.6(5),C Felony,"52241(41.694462, -91.58569)",Child Endangerment-Serious Injury,Violent,Assault,58.91
2014,01/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,23,Clarinda Correctional Facility,713.5,C Felony,"51632(40.747654, -95.045654)",BURGLARY 2ND DEGREE,Property,Burglary,24.44
2016,01/01/2016 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,37,Newton Correctional Facility,124.401(1)(c)(2)(b),C Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Cocaine LT 500gm",Drug,Trafficking,18.26
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,55,Newton Correctional Facility,"902.8,B",Felony - Enhancement to Original Penalty,"50208(41.707788, -93.035318)",HABITUAL OFFENDER (PROPERTY),Other,Other Criminal,17.24
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,39,Clarinda Correctional Facility,708.2A(4),D Felony,"51632(40.747654, -95.045654)",DOMESTIC ABUSE ASSAULT - 3RD OR SUBSEQUENT OFFENSE,Violent,Assault,14.14
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,26,Iowa Correctional Institution for Women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,14.24
2015,01/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,34,Newton Correctional Facility,"902.8,B",Felony - Enhancement to Original Penalty,"50208(41.707788, -93.035318)",HABITUAL OFFENDER (PROPERTY),Other,Other Criminal,21.71
2014,02/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,25,Newton Correctional Facility,708.4(2),D Felony,"50208(41.707788, -93.035318)",WILLFUL INJURY - CAUSING BODILY INJURY,Violent,Assault,19.24
2014,02/01/2014 12:00:00 AM,Work Release Granted,White - Hispanic,Female,39,Iowa Correctional Institution for Women,124.401(1)(b)(7),B Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,26.81
2015,01/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,52,Iowa Correctional Institution for Women,321J.2(C),D Felony,"50169(41.658201, -93.356797)",OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,2.76
2014,04/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,66,Iowa Medical & Classification Center,124.411,Felony - Enhancement to Original Penalty,"52241(41.694462, -91.58569)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,23.09
2014,04/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,49,Iowa State Penitentiary,707.6A(4),D Felony,"52627(40.651925, -91.34727)",Serious Injury by Vehicle,Violent,Murder/Manslaughter,4.34
2014,02/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,23,Anamosa State Penitentiary,715A.2(2)a,D Felony,"52205(42.112167, -91.282703)",FORGERY,Property,Forgery/Fraud,9.9
2014,01/01/2014 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,20,Newton Correctional Facility,713.6A,D Felony,"50208(41.707788, -93.035318)",BURGLARY 3RD DEGREE,Property,Burglary,14.51
2014,02/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,50,Clarinda Correctional Facility,714.2(2),D Felony,"51632(40.747654, -95.045654)",THEFT 2ND DEGREE,Property,Theft,3.19
2016,01/01/2016 12:00:00 AM,Paroled to Detainer - INS,White - Hispanic,Male,31,Fort Dodge Correctional Facility,321J.2(A),Serious Misdemeanor,"50501(42.494187, -94.188076)",OPER VEH WH INT (OWI) / SER MISD / 1ST OFF -,Public Order,OWI,8.49
2014,03/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,39,Fort Dodge Correctional Facility,124.411,Felony - Enhancement to Original Penalty,"50501(42.494187, -94.188076)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,39.9
2015,01/01/2015 12:00:00 AM,Paroled to Detainer - Out of State,Black - Non-Hispanic,Male,29,Anamosa State Penitentiary,711.3,C Felony,"52205(42.112167, -91.282703)","ROBBERY 2ND DEGREE, 85%",Violent,Robbery,80.92
2014,03/01/2014 12:00:00 AM,Paroled to Detainer - INS,White - Hispanic,Male,45,Iowa Medical & Classification Center,321J.2(C),D Felony,"52241(41.694462, -91.58569)",OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,6.91
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,24,Anamosa State Penitentiary,124.401(4)(b),D Felony,"52205(42.112167, -91.282703)",Proh Acts-Poss Prod Int for Mfg Cont Subst-Pseudoephedrine,Drug,Trafficking,7.47
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,31,Fort Dodge Correctional Facility,692A.104-B,D Felony,"50501(42.494187, -94.188076)",Sex Offender - Registration Violation 2nd or subsequent offense,Public Order,Other Public Order,8.72
2014,03/01/2014 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,22,Mount Pleasant Correctional Facility,709.8(3),D Felony,"52641(40.988278, -91.57896)",Lascivious Acts With A Child - 10 yr. special sentence,Violent,Sex,49.8
2016,03/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,38,North Central Correctional Facility,712.3,C Felony,"50579(42.394184, -94.640946)",ARSON 2ND DEGREE,Property,Arson,24.18
2014,01/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,57,Newton Correctional Facility,716.4,D Felony,"50208(41.707788, -93.035318)",CRIMINAL MISCHIEF 2ND DEGREE,Property,Vandalism,15
2016,12/01/2015 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,65,Mount Pleasant Correctional Facility,709.4,C Felony,"52641(40.988278, -91.57896)",Sex Abuse 3rd Degree-Life Special Sentence,Violent,Sex,98.22
